web-scraper-order,web-scraper-start-url,referencia,referencia-href,nombre,precio,calificacion,descripcion,imagen-src
"1681666611-1465","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola Nintendo Switch Lite Coral","https://www.ktronix.com/consola-nintendo-switch-lite-coral/p/045496882662","Consola Nintendo Switch Lite Coral","$1.419.000
                                            Hoy","0.0 star rating   Escribe una opinión","La consola Switch Lite es una consola pequeña y ligera","/medias/045496882662-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzg0fGltYWdlL2pwZWd8aW1hZ2VzL2g0Yi9oNDAvMTA5ODE5ODkyMjAzODIuanBnfGFhODFmNTlkMGUwNGU4M2I2NGE0NzY3ZTAxMmYyNGVjMmNjNjM5NTczYTQxZmE1NDUzYzA5MzdkNzViM2Q2YmQ"
"1681666616-1466","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola Xbox Series X + Control Inalámbrico","https://www.ktronix.com/consola-xbox-series-x-control-inalambrico/p/889842640755","Consola Xbox Series X + Control Inalámbrico","$3.389.900
                                            Hoy","5.0 star rating   164 Opiniones","Velocidad y rendimiento con la Xbox Velocity Arquitechture","/medias/889842640755-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNzYwfGltYWdlL2pwZWd8aW1hZ2VzL2g0Yi9oYzQvOTg2NzEyMjUwNzgwNi5qcGd8MDIwZDQzYTFkMGE4NmY0OWI4MGZkNGU3OGJiMjNjY2EzNjUzNDU5OTlkZmRlNzJlY2QyZjc2MjBkM2MyNDNlMA"
"1681666621-1467","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola NINTENDO SWITCH Lite Turquese","https://www.ktronix.com/consola-nintendo-switch-lite-turquese/p/045496882266","Consola NINTENDO SWITCH Lite Turquese","$1.419.000
                                            Hoy","5.0 star rating   11 Opiniones","Elegante diseño con controles integrados y cruz de control","/medias/045496882266-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNDExfGltYWdlL2pwZWd8aW1hZ2VzL2g2ZS9oMmUvMTA5ODE5ODQ1MDE3OTAuanBnfGZmMDQ2MTliN2Q1NDhhNTBkM2EyNGVlYWZjNzQwMmY0MmMyZDYzODg3NDAzM2ZlMzVkZTRjNzk3MWM0NWQxNmM"
"1681666626-1468","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola NINTENDO SWITCH Lite Azul","https://www.ktronix.com/consola-nintendo-switch-lite-azul/p/045496882716","Consola NINTENDO SWITCH Lite Azul","$1.419.000
                                            Hoy","5.0 star rating   1 Opinión","Compatible con todos los juegos físicos y digitales","/medias/045496882716-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyNDE3fGltYWdlL2pwZWd8aW1hZ2VzL2g0Ni9oNmEvMTA5ODE5OTIxNjk1MDIuanBnfDI4YTk1ZjdlNTA0Zjc5NTU5YmU4MzVmNzk5MTA4MTJiOGZiNmEyOTYzY2E2ZTBjYTFjYzcyM2M0ZTBjMjM2ZjI"
"1681666631-1469","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola XBOX Series X + 1 Control Inalámbrico + Paquete Forza Horizon 5","https://www.ktronix.com/consola-xbox-series-x-1-control-inalambrico-paquete-forza-horizon-5/p/196388146390","Consola XBOX Series X + 1 Control Inalámbrico + Paquete Forza Horizon 5","$3.719.900
                                            Hoy","0.0 star rating   Escribe una opinión","Velocidad y rendimiento con la Xbox Velocity Arquitechture","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-196388146390-001.jpg?context=bWFzdGVyfGltYWdlc3wyODQ4fGltYWdlL2pwZWd8aDYwL2gyMC8xMzcwNTg2MjU3ODIwNi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzE5NjM4ODE0NjM5MF8wMDEuanBnfGZkMzFkZWE4NDJjMDA5ZmU4ZjgyZDJhZTM3YzY3ZjFhOTNiNjExMmE4OWQ0MzI1YTY0NmUxZDE0NTUxN2ViZTE"
"1681666636-1470","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola NINTENDO SWITCH™ w/ Neon Blue & Neon Red Joy-Con + Juego Mario Kart 8 Deluxe Descargable","https://www.ktronix.com/consola-nintendo-switch-w-neon-blue-neon-red-joy-con-juego-mario-kart-8-deluxe-descargable/p/045496883935","Consola NINTENDO SWITCH™ w/ Neon Blue & Neon Red Joy-Con + Juego Mario Kart 8 Deluxe Descargable","$2.099.000
                                            Hoy","5.0 star rating   1 Opinión","Control parental","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-045496883935-001.jpg?context=bWFzdGVyfGltYWdlc3w1MTQ3fGltYWdlL2pwZWd8aGNlL2hhYy8xMzUyOTYxMjQ1MTg3MC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzA0NTQ5Njg4MzkzNV8wMDEuanBnfDc1YjNhMzEzODY3MDFkMDM4MzBjMjdmZDE3MGJmZjc5MmUyYTEzY2JkZDhkNTVlMWE0M2FiMjkwMzQ2NDNjN2U"
"1681666641-1471","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola PS5 Estándar 825GB + 1 Control Dualsense + Voucher para descargar Juego Digital Fifa 23","https://www.ktronix.com/consola-ps5-estandar-825gb-1-control-dualsense-voucher-descargar-juego-digital-fifa-23/p/711719555353","Consola PS5 Estándar 825GB + 1 Control Dualsense + Voucher para descargar Juego Digital Fifa 23","$3.889.900
                                            Hoy","5.0 star rating   7 Opiniones","Tecnología de sonido 3D tempest en auriculares compatibles y mucho más.","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-711719555353-001.jpg?context=bWFzdGVyfGltYWdlc3wzMjY3fGltYWdlL2pwZWd8aDM1L2hhZC8xMzQ5NzkzMjM4MjIzOC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzcxMTcxOTU1NTM1M18wMDEuanBnfDU0MTg5MzkxMDMxZjM0MjllYjEyNWVlNDMwMGRhMTlhNmVmN2E1ZTIwY2UzNGRiN2MzNGYxMDMwOWQxMTI3ZGM"
"1681666646-1472","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola PS5 Digital 825GB + 1 Control Dualsense","https://www.ktronix.com/consola-ps5-digital-825gb-1-control-dualsense/p/711719556367","Consola PS5 Digital 825GB + 1 Control Dualsense","$2.789.900
                                            Hoy","0.0 star rating   Escribe una opinión","Tecnología de sonido 3D Tempest en auriculares compatibles","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-711719556367-001.jpg?context=bWFzdGVyfGltYWdlc3wyNTczfGltYWdlL2pwZWd8aDkxL2g0Ny8xMzczNzkxNzA1NTAwNi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzcxMTcxOTU1NjM2N18wMDEuanBnfDY3OGU1N2UzNzg2NzliYzNkNjNkNzM3MDM2ZTY1YjE0YmIwMDk3YTRmZTdlOTg4OGU0YTQwYTdhMzE0MzIxM2M"
"1681666651-1473","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola NINTENDO SWITCH con Joy Con Neon/Blue","https://www.ktronix.com/consola-nintendo-switch-con-joy-con-neon-blue/p/045496882174","Consola NINTENDO SWITCH con Joy Con Neon/Blue","$1.599.000
                                            Hoy","4.9 star rating   110 Opiniones","null","/medias/045496882174-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMjE0fGltYWdlL2pwZWd8aW1hZ2VzL2hkNC9oOGIvMTA5ODE5NDcwMTUxOTguanBnfGE0ZjczNTBhZGFhZDI2MzY4OTRmY2QwYmVhMzFjZDRiMjQ5YjUwNjlhYjk2NTA5NTY2MDE3NmI1ZWE1MWUwMTQ"
"1681666656-1474","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola NINTENDO SWITCH Modelo OLED con Joy-Con Rojo Neon|Azul Neon","https://www.ktronix.com/consola-nintendo-switch-modelo-oled-con-joy-con-rojo-neon-azul-neon/p/045496883409","Consola NINTENDO SWITCH Modelo OLED con Joy-Con Rojo Neon|Azul Neon","$1.899.000
                                            Hoy","5.0 star rating   45 Opiniones","Use el puerto LAN de la base cuando juegue en modo TV para una conexión a Internet con cable","/medias/045496883409-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMzU0fGltYWdlL2pwZWd8aW1hZ2VzL2hiYS9oMmEvMTEyMDgxODI5NTYwNjIuanBnfDBiMzNlOWU0OGFjMjRlZGExNzg0YWFjOWY4NmQ2MjcwMTI2YzAwMjliYzdlZGM2MmU3ZmQyNDFlZjQwMjJlZWY"
"1681666662-1475","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola NINTENDO SWITCH Modelo OLED con Joy-Con Blanco|Negro","https://www.ktronix.com/consola-nintendo-switch-modelo-oled-con-joy-con-blanco-negro/p/045496883386","Consola NINTENDO SWITCH Modelo OLED con Joy-Con Blanco|Negro","$1.899.000
                                            Hoy","5.0 star rating   45 Opiniones","Use el puerto LAN de la base cuando juegue en modo TV para una conexión a Internet con cable","/medias/045496883386-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMTI3fGltYWdlL2pwZWd8aW1hZ2VzL2hjZS9oY2YvMTEyMDgxNzgwNDA4NjIuanBnfGNjMmU3Y2MxZTI0NDUyN2FlZmNhZTVmNDYwMDU4YzM1ZTk5ZWM0NDViNjVjYTU5ODM2ZjhhNTNlMDg0MjE5ZDU"
"1681666666-1476","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola PS5 Estándar 825GB + 1 Control Dualsense + Voucher para descargar Juego Digital God Of War","https://www.ktronix.com/consola-ps5-estandar-825gb-1-control-dualsense-voucher-descargar-juego-digital-god-of-war/p/711719555360","Consola PS5 Estándar 825GB + 1 Control Dualsense + Voucher para descargar Juego Digital God Of War","$4.039.900
                                            Hoy","5.0 star rating   2 Opiniones","Tecnología de sonido 3D tempest en auriculares compatibles y mucho más.","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-711719555360-001.jpg?context=bWFzdGVyfGltYWdlc3wzMzIzfGltYWdlL2pwZWd8aGMxL2hhMy8xMzUwNTcyNTkyMzM1OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzcxMTcxOTU1NTM2MF8wMDEuanBnfDc3NTYxMGQxODQyYWMzMDBiYWZmYzI2MzU3OWU4OWRiMjkwNDIyODM1ZmFmZDdiZGNlZjhmZGZiODJmY2MxNTE"
"1681666671-1477","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola PS4 1 TB + 1 Control Inalambrico + Juego God Of War Ragnarok","https://www.ktronix.com/consola-ps4-1-tb-1-control-inalambrico-juego-god-of-war-ragnarok/p/711719560418","Consola PS4 1 TB + 1 Control Inalambrico + Juego God Of War Ragnarok","$2.499.900
                                            Hoy","5.0 star rating   10 Opiniones","Viaja con God Of War a través de peligrosos e increíbles paisajes","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-711719560418-001.jpg?context=bWFzdGVyfGltYWdlc3w2MjYxfGltYWdlL2pwZWd8aDAxL2g3MS8xMzU2OTg5NjQ4MDc5OC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzcxMTcxOTU2MDQxOF8wMDEuanBnfDg5NjIxYzZlMmRhZmI3YmM2MDRhZjUxNGIwYzM3Yjk4YWNkZTQxMDgyZWUwYmVjNGI1MzVmMzk4MDEyNWI1YTE"
"1681666675-1478","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola PS5 Estándar 825GB + 1 Control Dualsense","https://www.ktronix.com/consola-ps5-estandar-825gb-1-control-dualsense/p/711719556220","Consola PS5 Estándar 825GB + 1 Control Dualsense","$3.639.900
                                            Hoy","4.9 star rating   16 Opiniones","Tecnología de sonido 3D tempest en auriculares compatibles y mucho más.","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-711719556220-001.jpg?context=bWFzdGVyfGltYWdlc3wyODE4fGltYWdlL2pwZWd8aDE0L2gzNi8xMzUwNTcyODI4MjY1NC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzcxMTcxOTU1NjIyMF8wMDEuanBnfDc4M2Q5ODFhMzZlZDc3M2I3OWFlNmM3YmExZTg0OTY0N2U1MmY5NjgwMzY1N2IyZTRkNjAwNjc5MWEyZjBiZjc"
"1681666680-1479","https://www.ktronix.com/videojuegos/consolas/c/BI_131_KTRON","Consola XBOX Series S + 1 Control Inalámbrico","https://www.ktronix.com/consola-xbox-series-s-1-control-inalambrico/p/889842651348","Consola XBOX Series S + 1 Control Inalámbrico","$1.949.900
                                            Hoy","4.9 star rating   295 Opiniones","Velocidad y el rendimiento con la Xbox Velocity Arquitechture","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-889842651348-001.jpg?context=bWFzdGVyfGltYWdlc3wxNzUyfGltYWdlL2pwZWd8aGJkL2gyYS8xMzc0MzEzNzA5NTcxMC82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg4OTg0MjY1MTM0OF8wMDEuanBnfDE2MTkzNGUyMzE1NGNmNmQwNzA3MzgxZjAyZGQ2MTFlNzlkNDg2ZmRjMzg2ZWE2ODZjZjkzMGVmNGQxYjI4MDE"
